ligand	score_template	score_target	selectivity_score	template_pocket	target_pocket
CHEMBL4280537	26.2	-4.9	36.0	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4277534	29.5	-3.1	35.7	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4126090	27.7	-3.0	33.7	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4288852	34.6	0.5	33.6	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4450820	24.6	-4.2	33.0	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL432737	27.4	-2.1	31.6	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4127325	25.1	-3.1	31.300000000000004	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4285653	30.5	-0.3	31.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL77423	25.9	-2.6	31.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL38776	19.3	-5.7	30.7	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL310236	29.6	-0.3	30.200000000000003	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL160482	20.7	-4.6	29.9	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1914502	34.6	2.5	29.6	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4128707	30.1	0.3	29.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4282239	20.5	-4.5	29.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1196895	16.3	-6.4	29.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4277713	27.2	-0.9	28.999999999999996	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1188390	22.4	-3.2	28.799999999999997	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5077170	15.2	-6.6	28.4	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL171299	17.0	-5.6	28.200000000000003	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5075427	14.7	-6.5	27.7	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1191071	16.3	-5.6	27.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1194981	18.7	-4.3	27.3	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642385	15.5	-5.9	27.299999999999997	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1194980	20.1	-3.5	27.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL419823	25.1	-1.0	27.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL196826	24.1	-1.4	26.9	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL170180	13.4	-6.7	26.8	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL2326023	16.4	-5.2	26.799999999999997	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL3249728	19.6	-3.5	26.6	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5175848	13.5	-6.5	26.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL303402	8.8	-8.8	26.400000000000002	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL107318	22.3	-2.0	26.3	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1188979	27.8	0.8	26.2	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1506975	12.4	-6.8	26.0	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4289242	35.3	4.9	25.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL2403781	28.8	1.7	25.400000000000002	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5606945	20.1	-2.6	25.300000000000004	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL308528	19.1	-3.1	25.300000000000004	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5075355	18.4	-3.4	25.199999999999996	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5094118	13.5	-5.8	25.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642370	11.9	-6.6	25.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1192937	10.9	-7.0	24.9	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL307361	25.7	0.5	24.7	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1194017	11.4	-6.6	24.6	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642369	14.3	-5.1	24.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1192614	12.7	-5.8	24.3	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642376	11.9	-6.2	24.3	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4083463	14.5	-4.9	24.299999999999997	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1190145	10.6	-6.8	24.2	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642399	11.6	-6.3	24.2	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4126231	29.4	2.6	24.199999999999996	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL107100	24.4	0.1	24.199999999999996	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1195413	15.3	-4.4	24.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL3403609	18.5	-2.8	24.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4073035	12.6	-5.7	24.0	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1194936	12.0	-6.0	24.0	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL416074	17.2	-3.4	23.999999999999996	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1193239	13.2	-5.3	23.8	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642394	9.6	-7.1	23.799999999999997	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL77626	10.9	-6.4	23.700000000000003	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL223162	12.9	-5.4	23.700000000000003	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1642410	13.9	-4.8	23.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL5074996	11.9	-5.8	23.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL253336	11.3	-6.1	23.5	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL328703	13.8	-4.8	23.400000000000002	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1542911	11.3	-6.0	23.3	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1193613	13.0	-5.1	23.200000000000003	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1822877	11.8	-5.7	23.2	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1198528	10.9	-6.1	23.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1192437	12.5	-5.3	23.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1189510	10.1	-6.5	23.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL1189503	15.5	-3.8	23.1	pocket5_atm.pdb	pocket10_atm.pdb
CHEMBL4845999	12.7	-5.2	23.099999999999998	pocket5_atm.pdb	pocket10_atm.pdb
